出表日期,公司代號,公司名稱,大股東名稱
1130525,6417,韋僑,希華晶體科技股份有限公司
1130525,6418,詠昇,黃金錫
1130525,6418,詠昇,黃塗城
1130525,6419,京晨科,永律投資股份有限公司
1130525,6425,易發,羅文進
1130525,6432,今展科,今亞中投資股份有限公司
1130525,6432,今展科,王琴賢
1130525,6435,大中,茂達電子股份有限公司
1130525,6441,廣錠,廖良彬
1130525,6441,廣錠,廣積科技股份有限公司
1130525,6461,益得,健喬信元醫藥生技股份有限公司
1130525,6462,神盾,羅森洲
1130525,6465,威潤,太思科技股份有限公司
1130525,6465,威潤,威剛科技股份有限公司
1130525,6469,大樹,峻韋投資有限公司
1130525,6469,大樹,禎翰投資有限公司
1130525,6482,弘煜科,弘力數位股份有限公司
1130525,6482,弘煜科,宇峻奧汀科技股份有限公司
1130525,6482,弘煜科,洪而立
1130525,6482,弘煜科,智冠科技股份有限公司
1130525,6486,互動,仲琦科技股份有限公司
1130525,6488,環球晶,中美矽晶製品股份有限公司
1130525,6496,科懋,益世華投資股份有限公司
1130525,6496,科懋,陳澤民
1130525,6499,益安,美商Ｍｅｄｅｏｎ，Ｉｎｃ．
1130525,6499,益安,晟德大藥廠股份有限公司
1130525,6508,惠光,惠光投資股份有限公司
